"ANIMAL_TYPE","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","HOUSE_NUMBER","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBLEMCODE","REQUESTID","SRX","SRY","STATUS","STREET","WARD"
"Dog","","2013-10-07 10:30:25.877","2013-10-07 10:30:25.877","2013-09-11 09:56:57.0","800","74","Animal Bite","2013-09-18 00:00:00.0","Animal Bite","528591","","","CLOSED","HORNSBY","13"
"Cat","","2013-06-26 10:21:15.157","2013-06-26 10:21:15.157","2013-06-17 11:07:58.0","4600","04","Animal Bite","2013-06-24 00:00:00.0","Animal Bite","496864","","","CLOSED","GERMANIA ST","02"
"Dog","","2013-06-26 16:29:43.0","2013-06-26 16:29:43.993","2013-06-20 09:17:48.0","1200","40","Animal Bite","2013-06-27 00:00:00.0","Animal Bite","498328","","","CLOSED","MACKLIND AVE","09"
"Dog","","2013-06-26 12:43:52.397","2013-06-26 12:43:52.397","2013-06-26 12:42:45.873","5400","07","Animal Bite","2013-07-03 00:00:00.0","Animal Bite","500704","","","CLOSED","DELOR CT","05"
"Dog","","2013-07-17 10:11:28.57","2013-07-17 10:11:28.57","2013-06-26 14:48:03.527","3800","03","Animal Bite","2013-07-03 00:00:00.0","Animal Bite","500837","","","CLOSED","WILMINGTON AVE","01"
"Dog","","2013-07-16 13:08:38.317","2013-07-16 13:08:38.317","2013-06-26 16:52:03.723","200","02","Animal Bite","2013-07-03 00:00:00.0","Animal Bite","500939","","","CLOSED","W STEINS ST","01"
"Dog","","2013-07-16 13:01:12.027","2013-07-16 13:01:12.027","2013-06-28 11:38:24.673","4600","15","Animal Bite","2013-07-08 00:00:00.0","Animal Bite","501778","","","CLOSED","CHIPPEWA ST","06"
"Dog","","2013-12-12 13:07:36.657","2013-12-12 13:07:36.657","2013-07-30 12:12:41.677","1700","12","Animal Bite","2013-08-06 00:00:00.0","Animal Bite","512897","","","CLOSED","EDWARDS ST","05"
"Dog","","2013-08-13 14:51:47.553","2013-08-13 14:51:47.553","2013-08-01 09:11:06.847","1300","21","Animal Bite","2013-08-08 00:00:00.0","Animal Bite","513677","","","CLOSED","SHENANDOAH AVE","08"
"Dog","","2013-08-14 11:15:35.083","2013-08-14 11:15:35.083","2013-08-01 09:51:07.143","1200","32","Animal Bite","2013-08-08 00:00:00.0","Animal Bite","513721","","","CLOSED","S JEFFERSON AVE","08"
"Dog","","2013-08-28 14:09:22.54","2013-08-28 14:09:22.54","2013-08-04 17:04:19.0","6500","","Animal Bite","2013-08-12 00:00:00.0","Animal Bite","514608","","","CLOSED","SOUTHWEST AV","04"
"Dog","","2013-08-13 14:39:53.793","2013-08-13 14:39:53.793","2013-08-05 13:23:10.523","5300","71","Animal Bite","2013-08-12 00:00:00.0","Animal Bite","514988","","","CLOSED","RUSKIN AVE","12"
"Unknown or not provided","","2013-08-13 14:54:10.0","2013-08-13 14:54:10.907","2013-08-13 14:53:04.0","2800","13","Animal Bite","2013-08-20 00:00:00.0","Animal Bite","518262","","","CLOSED","JANUARY AVE","05"
"Dog","","2013-08-13 14:58:14.0","2013-08-13 14:58:14.65","2013-08-13 14:57:15.0","5400","06","Animal Bite","2013-08-07 00:00:00.0","Animal Bite","518269","","","CLOSED","GRESHAM AVE","02"
"Cat","","2013-08-19 11:28:23.0","2013-08-19 11:28:23.083","2013-08-19 11:24:21.0","1400","32","Animal Bite","2013-08-26 00:00:00.0","Animal Bite","520292","","","CLOSED","S 18TH ST","08"
"Dog","","2013-12-12 13:19:54.553","2013-12-12 13:19:54.553","2013-08-21 09:53:36.677","1900","57","Animal Bite","2013-08-28 00:00:00.0","Animal Bite","521285","","","CLOSED","BELLE GLADE AVE","12"
"Dog","","2013-10-07 12:21:47.127","2013-10-07 12:21:47.127","2013-08-22 10:02:36.0","6600","11","Animal Bite","2013-08-29 00:00:00.0","Animal Bite","521825","","","CLOSED","ODELL ST","04"
"Dog","","2013-09-03 16:43:04.263","2013-09-03 16:43:04.263","2013-08-26 11:45:31.0","2000","68","Animal Bite","2013-09-03 00:00:00.0","Animal Bite","522789","","","CLOSED","FAIR AVE","11"
"Dog","","2013-09-05 12:50:11.95","2013-09-05 12:50:11.95","2013-08-26 12:45:00.307","5100","52","Animal Bite","2013-09-03 00:00:00.0","Animal Bite","522842","","","CLOSED","GREER AVE","12"
"Dog","","2013-09-05 12:48:53.0","2013-09-05 12:48:53.247","2013-08-27 15:52:40.0","4600","71","Animal Bite","2013-09-04 00:00:00.0","Animal Bite","523575","","","CLOSED","W FLORISSANT AVE","12"
"Dog","","2013-09-11 16:45:15.0","2013-09-11 16:45:15.78","2013-09-04 15:00:19.0","5400","06","Animal Bite","2013-09-11 00:00:00.0","Animal Bite","526227","","","CLOSED","RHODES AVE","02"
"Dog","","2013-09-11 16:48:47.17","2013-09-11 16:48:47.17","2013-09-04 15:18:51.727","5000","","Animal Bite","2013-09-11 00:00:00.0","Animal Bite","526257","","","CLOSED","MILENTZ","13"
"Dog","","2013-09-10 09:35:55.0","2013-09-10 09:35:55.587","2013-09-05 16:13:54.0","6700","08","Animal Bite","2013-09-12 00:00:00.0","Animal Bite","526788","","","CLOSED","DELOR CT","02"
"Dog","","2013-09-30 14:53:31.733","2013-09-30 14:53:31.733","2013-09-19 08:52:42.57","","04","Animal Bite","2013-09-26 00:00:00.0","Animal Bite","531512","-10049340.71021710","4659526.67404010","CLOSED","LOUGHBOROUGH AVE & QUINCY","01"
"Dog","","2013-10-10 14:45:42.66","2013-10-10 14:45:42.66","2013-09-26 08:28:07.363","5800","50","Animal Bite","2013-10-03 00:00:00.0","Animal Bite","534140","","","CLOSED","WABADA AVE","13"
"Dog","","2013-10-07 12:48:09.467","2013-10-07 12:48:09.467","2013-09-27 12:37:09.0","3100","","Animal Bite","2013-10-04 00:00:00.0","Animal Bite","534822","","","CLOSED","ARSENAL ST","07"
"Dog","","2013-10-08 08:22:40.0","2013-10-08 08:22:40.96","2013-10-01 14:07:56.0","1200","","Animal Bite","2013-10-08 00:00:00.0","Animal Bite","535954","","","CLOSED","WASHINGTON","05"
"Dog","","2013-10-07 12:02:29.027","2013-10-07 12:02:29.027","2013-09-16 08:39:12.833","6300","","Animal Bite","2013-09-23 00:00:00.0","Animal Bite","530122","","","CLOSED","VERMONT","11"
"Dog","","2013-12-13 15:10:49.087","2013-12-13 15:10:49.087","2013-09-16 14:41:15.167","1200","","Animal Bite","2013-09-23 00:00:00.0","Animal Bite","530374","","","CLOSED","MACKLIND","17"
"Dog","","2013-10-07 08:25:47.62","2013-10-07 08:25:47.62","2013-09-16 14:45:46.223","10800","","Animal Bite","2013-09-23 00:00:00.0","Animal Bite","530376","","","CLOSED","RIVERVIEW","02"
"Dog","","2013-10-07 09:42:32.15","2013-10-07 09:42:32.15","2013-09-17 08:55:09.533","6100","46","Animal Bite","2013-09-24 00:00:00.0","Animal Bite","530581","","","CLOSED","DELMAR BLVD","10"
"Dog","","2013-12-13 15:19:13.0","2013-12-13 15:19:13.487","2013-09-18 16:33:58.0","5000","71","Animal Bite","2013-09-25 00:00:00.0","Animal Bite","531410","","","CLOSED","GERALDINE AVE","12"
"Dog","","2013-09-30 13:11:03.943","2013-09-30 13:11:03.943","2013-09-19 14:18:22.713","2800","","Animal Bite","2013-09-26 00:00:00.0","Animal Bite","531835","","","CLOSED","OSAGE","20"
"Dog","","2013-10-07 13:54:22.847","2013-10-07 13:54:22.847","2013-09-19 16:34:02.173","3700","","Animal Bite","2013-09-26 00:00:00.0","Animal Bite","531968","","","CLOSED","NEBRASKA","20"
"Dog","","2013-10-07 09:50:42.04","2013-10-07 09:50:42.04","2013-09-20 09:55:27.0","6200","45","Animal Bite","2013-09-27 00:00:00.0","Animal Bite","532102","","","CLOSED","SOUTHWOOD AVE","10"
"Dog","","2013-10-07 08:36:12.89","2013-10-07 08:36:12.89","2013-09-23 08:05:46.667","5600","14","Animal Bite","2013-09-30 00:00:00.0","Animal Bite","532592","","","CLOSED","POTOMAC ST","05"
"Dog","","2013-10-08 08:18:38.043","2013-10-08 08:18:38.043","2013-09-30 08:09:21.63","7100","04","Animal Bite","2013-10-07 00:00:00.0","Animal Bite","535113","","","CLOSED","S GRAND BLVD","01"
"Dog","","2013-10-07 08:44:10.177","2013-10-07 08:44:10.177","2013-09-30 16:42:32.59","3400","","Animal Bite","2013-10-07 00:00:00.0","Animal Bite","535558","","","CLOSED","OSAGE","25"
"Dog","","2013-12-12 15:01:07.247","2013-12-12 15:01:07.247","2013-10-04 12:30:09.987","7000","08","Animal Bite","2013-10-11 00:00:00.0","Animal Bite","537261","","","CLOSED","JAMIESON AVE","02"
"Dog","","2013-12-12 15:01:47.34","2013-12-12 15:01:47.34","2013-10-04 16:15:42.633","3900","","Animal Bite","2013-10-11 00:00:00.0","Animal Bite","537420","","","CLOSED","ARSENAL","15"
"Dog","","2013-12-12 15:07:26.577","2013-12-12 15:07:26.577","2013-10-08 10:48:57.547","4700","17","Animal Bite","2013-10-15 00:00:00.0","Animal Bite","538144","","","CLOSED","MICHIGAN AVE","03"
"Dog","","2013-12-12 15:08:42.49","2013-12-12 15:08:42.49","2013-10-14 09:15:15.0","4700","04","Animal Bite","2013-10-21 00:00:00.0","Animal Bite","539841","","","CLOSED","HAMBURG","02"
"Dog","","2013-11-04 13:57:36.803","2013-11-04 13:57:36.803","2013-10-14 10:38:45.017","1200","48","Animal Bite","2013-10-21 00:00:00.0","Animal Bite","539884","","","CLOSED","BLACKSTONE AVE","10"
"Dog","","2013-12-12 15:26:17.733","2013-12-12 15:26:17.733","2013-10-29 14:09:54.943","4200","07","Animal Bite","2013-11-05 00:00:00.0","Animal Bite","544291","","","CLOSED","HEREFORD ST","05"
"Dog","","2013-11-26 13:57:06.127","2013-11-26 13:57:06.127","2013-11-12 10:19:55.52","4900","07","Animal Bite","2013-11-19 00:00:00.0","Animal Bite","547768","","","CLOSED","CHIPPEWA ST","05"
"Dog","","2013-11-27 15:06:53.947","2013-11-27 15:06:53.947","2013-11-15 13:03:12.0","3000","56","Animal Bite","2013-11-22 00:00:00.0","Animal Bite","549221","","","CLOSED","ROLLA PL","12"
"Dog","","2014-01-08 14:36:40.0","2014-01-08 14:36:40.847","2013-11-25 09:32:37.0","5500","47","Animal Bite","2013-12-04 00:00:00.0","Animal Bite","551925","","","CLOSED","PERSHING AVE","10"
"Dog","","2013-12-17 11:53:01.233","2013-12-17 11:53:01.233","2013-11-27 10:54:58.93","1200","","Animal Bite","2013-12-06 00:00:00.0","Animal Bite","552670","","","CLOSED","MACKLIND","17"
"Dog","","2013-12-13 14:33:53.277","2013-12-13 14:33:53.277","2013-12-09 15:20:34.297","2600","","Animal Bite","2013-12-16 00:00:00.0","Animal Bite","555080","","","CLOSED","SHENANDOAH","07"
"Dog","","2014-01-07 16:04:12.413","2014-01-07 16:04:12.413","2013-12-17 15:44:10.0","1200","62","Animal Bite","2013-12-24 00:00:00.0","Animal Bite","556643","","","CLOSED","N 7TH ST","14"
"Dog","","2014-01-07 15:39:29.967","2014-01-07 15:39:29.967","2013-12-30 08:55:18.107","6100","","Animal Bite","2014-01-06 00:00:00.0","Animal Bite","559024","","","CLOSED","NORTH POINT","27"
"Dog","","2014-01-21 00:00:00.0","2014-02-13 09:50:21.53","2014-01-08 10:26:01.123","1200","","Animal Bite","2014-01-15 00:00:00.0","Animal Bite","561018","","","CLOSED","PEGGY COURT","02"
"Dog","","2014-01-15 14:55:00.0","2014-01-29 14:56:51.427","2014-01-09 15:57:16.0","7200","01","Animal Bite","2014-01-16 00:00:00.0","Animal Bite","561842","","","CLOSED","MICHIGAN AVE","01"
"Dog","","2014-01-09 11:43:12.0","2014-01-15 14:20:25.23","2014-01-09 16:00:51.477","1900","","Animal Bite","2014-01-16 00:00:00.0","Animal Bite","561861","","","CLOSED","MAURY","08"
"Dog","","2013-10-07 12:33:59.157","2013-10-07 12:33:59.157","2013-10-01 14:11:08.753","6000","","Animal Bite","2013-10-08 00:00:00.0","Animal Bite","535956","","","CLOSED","HARNEY","27"
"Cat","","2013-12-12 15:14:57.0","2013-12-12 15:14:57.043","2013-10-14 16:42:42.0","2100","22","Animal Bite","2013-10-21 00:00:00.0","Animal Bite","540121","","","CLOSED","VICTOR ST","08"
"Dog","","2013-12-12 15:17:27.593","2013-12-12 15:17:27.593","2013-10-21 10:30:36.34","4600","16","Animal Bite","2013-10-28 00:00:00.0","Animal Bite","541830","","","CLOSED","DEWEY AVE","03"
"Dog","","2013-11-21 16:55:58.837","2013-11-21 16:55:58.837","2013-10-23 10:15:02.863","5100","","Animal Bite","2013-10-30 00:00:00.0","Animal Bite","542586","","","CLOSED","VERMONT","11"
"Dog","","2014-01-08 13:49:24.66","2014-01-08 13:49:24.66","2013-11-04 13:02:45.483","6700","","Animal Bite","2013-11-12 00:00:00.0","Animal Bite","545758","","","CLOSED","WISE","24"
"Cat","","2013-11-27 14:32:39.637","2013-11-27 14:32:39.637","2013-11-13 10:07:41.73","5000","","Animal Bite","2013-11-20 00:00:00.0","Animal Bite","548201","","","CLOSED","NEWPORT","14"
"Dog","","2013-12-17 11:45:04.603","2013-12-17 11:45:04.603","2013-11-20 09:30:42.46","1200","","Animal Bite","2013-11-27 00:00:00.0","Animal Bite","550780","","","CLOSED","MACKLIND","17"
"Dog","","2013-12-17 13:30:39.307","2013-12-17 13:30:39.307","2013-11-25 09:29:44.633","6500","","Animal Bite","2013-12-04 00:00:00.0","Animal Bite","551923","","","CLOSED","BANCROFT","23"
"Dog","","2013-12-13 14:10:24.743","2013-12-13 14:10:24.743","2013-11-27 10:58:08.633","4800","","Animal Bite","2013-12-06 00:00:00.0","Animal Bite","552672","","","CLOSED","AUSTRIA","12"
"Dog","","2014-01-15 14:25:14.02","2014-01-15 14:25:14.02","2013-11-29 16:52:11.0","4900","71","Animal Bite","2013-12-09 00:00:00.0","Animal Bite","552828","","","CLOSED","HARNEY AV","12"
"Dog","","2013-12-13 15:24:33.44","2013-12-13 15:24:33.44","2013-12-10 14:51:47.0","4200","68","Animal Bite","2013-12-17 00:00:00.0","Animal Bite","555297","","","CLOSED","PENROSE","11"
"Dog","","2013-12-30 00:00:00.0","2014-01-23 16:06:39.19","2013-12-20 08:14:23.0","5000","71","Animal Bite","2013-12-30 00:00:00.0","Animal Bite","557270","","","CLOSED","RUSKIN AVE","12"
"Dog","","2014-01-14 10:02:57.297","2014-01-14 10:02:57.297","2013-12-20 09:11:12.067","4400","05","Animal Bite","2013-12-30 00:00:00.0","Animal Bite","557320","","","CLOSED","NEOSHO ST","02"
"Dog","","2014-01-14 10:02:04.0","2014-01-14 10:02:04.117","2013-12-20 14:57:22.0","3500","09","Animal Bite","2013-12-30 00:00:00.0","Animal Bite","557620","","","CLOSED","WATSON RD","04"
"Dog","","2013-12-23 16:15:41.96","2013-12-23 16:15:41.96","2013-12-23 08:48:18.15","5200","","Animal Bite","2013-12-31 00:00:00.0","Animal Bite","557811","","","CLOSED","PARKER","10"
"Dog","","2014-01-07 15:57:47.267","2014-01-07 15:57:47.267","2013-12-26 10:24:54.297","1300","78","Animal Bite","2014-01-02 00:00:00.0","Animal Bite","558304","","","CLOSED","MONTCLAIR AVE","13"
"Dog","","2014-01-07 15:41:14.0","2014-01-07 15:41:14.66","2014-01-03 13:28:21.0","4100","16","Animal Bite","2014-01-10 00:00:00.0","Animal Bite","560098","","","CLOSED","AVE","03"
"Cat","","2013-02-07 09:44:50.0","2014-02-13 09:45:08.3","2014-01-07 12:56:13.0","4100","04","Animal Bite","2014-01-14 00:00:00.0","Animal Bite","560652","","","CLOSED","HAVEN ST","01"
"Dog","","2013-02-13 09:46:48.0","2014-02-13 09:49:06.74","2014-01-07 15:40:42.697","8300","74","Animal Bite","2014-01-14 00:00:00.0","Animal Bite","560758","","","CLOSED","PEGGY CT","12"
"Dog","","2014-01-14 00:00:00.0","2014-02-13 09:51:29.563","2014-01-08 16:04:05.0","1200","74","Animal Bite","2014-01-15 00:00:00.0","Animal Bite","561314","","","CLOSED","MCLARAN AVE","13"
"Dog","","2014-01-13 09:30:46.0","2014-01-13 09:30:46.777","2014-01-09 15:52:28.0","9100","74","Animal Bite","2014-01-16 00:00:00.0","Animal Bite","561821","","","CLOSED","RIVERVIEW DR","13"
